,,,,,Funnel step: Added to cart,Funnel step: Reached checkout page,Funnel step: purchase (also is considred conversion),
Blog Article,/blogs/articles/how-deep-should-raised-garden-beds-be,2022-W09,31,32,0,0,0,71.88%
Blog Article,/blogs/articles/vego-garden-special-shapes,2022-W09,4,4,0,0,0,25.00%
Collection,/collections/herb-kids-gardens,2022-W09,7,12,1,0,0,66.67%
Custom Page,/pages/new-products,2022-W09,40,43,2,0,0,51.16%
Custom Page,/pages/contest062021,2022-W09,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/raised-garden-bed-buying-guide,2022-W09,2,3,0,0,0,66.67%
Product,/products/stainless-steel-gopher-net-staples-kit,2022-W09,335,350,4,0,0,79.14%
Blog Article,/blogs/articles/how-to-start-seeds-for-vegetable-garden,2022-W09,5,5,0,0,0,80.00%
Blog Article,/blogs/articles/preparing-your-winter-garden-for-spring,2022-W09,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/10-sustainable-spring-gardening-tips,2022-W09,8,8,0,0,0,75.00%
Custom Page,/pages/contact-us,2022-W09,164,179,0,0,0,72.63%
Collection,/collections/vego-garden-diy-components,2022-W09,19,25,0,0,0,24.00%
Blog Article,/blogs/articles/9-tips-for-successful-raised-garden-bed-gardening,2022-W09,141,198,1,0,0,76.77%
Custom Page,/pages/vego-garden-donation,2022-W09,6,7,0,0,0,57.14%
Blog Article,/blogs/articles/7-beginner-raised-bed-gardening-mistakes-to-avoid,2022-W09,6,6,0,0,0,100.00%
Product,/products/test-product,2022-W09,1,1,0,0,0,100.00%
Custom Page,/pages/about-vego,2022-W09,153,159,2,0,0,42.77%
Blog Article,/blogs/articles/how-to-grow-garlic,2022-W09,4,4,0,0,0,100.00%
Collection,/collections/best-sellers,2022-W09,44,49,1,0,0,65.31%
Custom Page,/pages/kids-program,2022-W09,19,24,0,0,0,66.67%
Blog Article,/blogs/articles/how-to-grow-and-harvest-lettuce,2022-W09,3,3,0,0,0,100.00%
Blog Article,/blogs/articles/celebrating-easter-by-gardening-some-greens,2022-W09,1,1,0,0,0,0.00%
Product,/products/vego-garden-gift-card,2022-W09,1,3,1,0,0,66.67%
Blog Article,/blogs/articles/what-to-know-before-building-a-raised-garden-bed,2022-W09,3,3,0,0,0,100.00%
Customer Account,/account/register,2022-W09,13,17,0,0,0,76.47%
Checkout,/gift_cards/28622716963/33789810ad3c9cd842b94f6ccaeb3031,2022-W09,1,2,0,0,0,50.00%
Blog Article,/blogs/articles/how-to-vermicompost-for-beginners,2022-W09,3,4,0,0,0,75.00%
Blog Article,/blogs/articles/7-tips-for-successful-raised-bed-gardening,2022-W09,3,4,0,0,0,75.00%
Blog Article,/blogs/articles/early-spring-perennial-flowers,2022-W09,8,8,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-water-succulents,2022-W09,10,10,0,0,0,100.00%
Blog Article,/blogs/articles/ideas-for-customizable-metal-raised-garden-beds,2022-W09,2,2,0,0,0,100.00%
Custom Page,/pages/terms-of-service,2022-W09,5,5,0,0,0,100.00%
Custom Page,/pages/sustainability,2022-W09,20,20,0,0,0,50.00%
Checkout,/gift_cards/28622716963/aac7e1dfa5abce335aa41ad93766b381,2022-W09,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/the-best-ways-to-utilize-modular-garden-beds,2022-W09,3,3,0,0,0,66.67%
Blog Article,/blogs/articles/the-best-raised-garden-bed-options-for-the-backyard,2022-W09,18,21,0,0,0,71.43%
Blog Article,/blogs/academy/difference-between-garden-soil-and-raised-bed-soil,2022-W09,235,260,0,0,0,81.15%
Blog Article,/blogs/articles/best-crops-to-grow-with-kids,2022-W09,10,11,0,0,0,90.91%
Blog Article,/blogs/articles/do-raised-garden-beds-need-drainage,2022-W09,6,6,0,0,0,66.67%
Custom Page,/pages/refund-policy,2022-W09,13,14,0,0,0,92.86%
Blog Article,/blogs/articles/how-to-compost-at-home-for-beginners,2022-W09,19,37,0,0,0,83.78%
Blog Article,/blogs/articles/growing-mother-in-laws-tongue-plant,2022-W09,2,2,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-grow-onions,2022-W09,3,3,0,0,0,100.00%
Collection,/collections/17-tall-diy-components,2022-W09,6,10,0,0,0,70.00%
Blog Article,/blogs/articles/why-is-everyone-obsessed-with-modular-garden-beds,2022-W09,3,4,0,0,0,75.00%
Blog Article,/blogs/academy/vego-garden-diy-ideas,2022-W09,32,35,1,0,0,57.14%
Blog Article,/blogs/articles/wandering-jew-plant-care,2022-W09,17,18,0,0,0,94.44%
Custom Page,/pages/why-we-are-the-best,2022-W09,5,5,0,0,0,60.00%
Blog Article,/blogs/articles/how-to-build-a-raised-garden-bed-and-garden-boxes,2022-W09,10,10,0,0,0,40.00%
Customer Account,/account/orders,2022-W09,6,8,0,0,0,62.50%
Homepage,,2022-W10,60990,67195,2268,921,744,45.06%
Cart,/cart,2022-W10,1145,1703,191,161,127,46.74%
Checkout,/checkouts,2022-W10,385,510,21,151,100,48.63%
Product,/products/32-extra-tall-9-in-1-modular-raised-garden-bed-kit,2022-W10,10840,11810,332,126,104,67.28%
Product,/products/vego-garden-6-in-1-modular-raised-garden-bed-kit,2022-W10,5026,5890,258,109,87,67.78%
Collection,/collections/all,2022-W10,4195,4627,228,85,71,56.73%
Product,/products/10-in-1-modular-metal-raised-garden-bed-kit,2022-W10,4295,4934,140,61,53,70.63%
Product,/products/9-in-1-modular-raised-garden-bed,2022-W10,2515,3157,150,60,49,68.29%
Collection,/collections/garden-beds,2022-W10,1992,2356,89,46,37,65.58%
Product,/products/32-extra-tall-6-in-1-modular-raised-garden-bed-kit,2022-W10,1342,1533,72,37,29,64.97%
Product,/products/17-tall-4-in-1-modular-metal-raised-garden-bed-kit,2022-W10,1210,1421,80,35,27,59.68%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-standard-size,2022-W10,3541,3935,101,31,24,63.33%
Collection,/collections/vego-garden-17-standard-kits,2022-W10,841,1083,56,23,20,60.76%
Product,/products/garden-bed-cover-systems,2022-W10,5892,6284,103,21,19,68.95%
Product,/products/garden-arch-trellis,2022-W10,4643,5048,85,16,7,75.71%
Collection,/collections/special-shapes,2022-W10,5035,5182,62,14,11,73.20%
Collection,/collections/extra-tall-32-raised-bed,2022-W10,575,726,39,13,11,59.64%
Product,/products/32-extra-tall-10-in-1-modular-raised-garden-bed-kit,2022-W10,2411,2709,48,13,10,74.64%
Product,/products/17-tall-42-wide-round-metal-raised-garden-bed,2022-W10,1914,2144,41,12,12,71.27%
Product,/products/modular-wall-trellis-system,2022-W10,1729,1828,44,11,8,67.67%
Custom Page,/pages/design-galleries,2022-W10,465,542,14,11,8,59.96%
Product,/products/vego-coffee-mug,2022-W10,371,387,9,11,4,66.41%
Product,/products/worm-farm-worm-composter,2022-W10,1866,2046,31,10,7,77.42%
Product,/products/32-extra-tall-4-in-1-modular-raised-garden-bed-kit,2022-W10,273,317,15,10,7,63.09%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-jumbo-size,2022-W10,4501,4699,49,10,9,75.95%
Collection,/collections/on-sale,2022-W10,558,593,30,10,9,49.75%
Product,/products/17-inch-tall-kids-first-raised-bed,2022-W10,492,576,20,8,7,67.88%
Product,/products/cascading-raised-garden-bed-kit-standard-size,2022-W10,3453,3655,57,8,7,78.74%
Product,/products/herb-garden-24-wide-17-tall-twin-pack,2022-W10,503,556,18,7,6,68.17%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-large-size,2022-W10,656,709,16,7,6,68.12%
Collection,/collections/add-ons,2022-W10,175,218,12,7,2,55.50%
Product,/products/rolling-planter-twin-pack,2022-W10,3212,3318,39,6,5,78.06%
Checkout,/orders,2022-W10,1006,1474,9,6,4,75.78%
Product,/products/17-tall-l-shaped-raised-garden-bed-kit-large-size,2022-W10,1027,1067,11,5,5,74.23%
Blog Article,/blogs/academy/how-to-fill-raised-garden-beds-and-save-money,2022-W10,4882,5479,17,5,5,84.05%
Product,/products/connecting-rod-bag,2022-W10,1143,1184,16,5,4,60.05%
Product,/products/17-tall-vego-garden-2-ft-extension-kit,2022-W10,73,82,7,5,4,54.88%
Custom Page,/pages/happy-customers,2022-W10,68,85,4,4,3,56.47%
Custom Page,/pages/about-vego,2022-W10,159,165,8,4,1,42.42%
Customer Account,/account,2022-W10,67,91,5,4,3,45.05%
Product,/products/32extra-tall-42-round-metal-garden-bed,2022-W10,397,435,11,4,4,69.89%
Collection,/collections/rolling-beds,2022-W10,178,213,5,4,4,59.62%
Product,/products/frost-cover,2022-W10,427,462,12,3,3,67.10%
Product,/products/stainless-steel-gopher-net-staples-kit,2022-W10,390,415,8,3,1,74.94%
Blog Index,/blogs/academy,2022-W10,76,108,6,3,1,36.11%
Product,/products/17-tall-l-shaped-raised-garden-bed-kit-standard-size,2022-W10,335,357,15,3,2,66.39%
App Generated,/apps/faq,2022-W10,273,331,7,3,1,63.75%
Search,/search,2022-W10,379,409,8,2,2,55.75%
Customer Account,/account/login,2022-W10,89,102,5,2,2,40.20%
Custom Page,/pages/contact-us,2022-W10,174,236,4,2,1,72.03%
Custom Page,/pages/refund-policy,2022-W10,18,19,3,2,1,47.37%
Collection,/collections/help-me-choose,2022-W10,45,48,2,2,1,54.17%
Custom Page,/pages/refer-and-earn,2022-W10,41,54,1,2,1,40.74%
Blog Article,/blogs/articles/5-reasons-to-start-your-garden-in-the-winter,2022-W10,378,428,4,2,2,63.08%
Product,/products/elevated-rolling-garden-bed,2022-W10,797,852,11,1,1,72.54%
Collection,/collections/small-garden-collection,2022-W10,60,78,5,1,1,61.54%
Collection,/collections/essentials,2022-W10,37,43,1,1,1,53.49%
Blog Article,/blogs/articles/10-sustainable-spring-gardening-tips,2022-W10,815,923,6,1,1,74.76%
List of Collections,/collections,2022-W10,107,121,1,1,1,44.63%
Blog Article,/blogs/academy/metal-raised-garden-beds-vs-wood-raised-garden-beds,2022-W10,1025,1065,7,1,0,68.92%
Blog Article,/blogs/academy/why-is-aluzinc-steel-the-best-material-for-raised-garden-beds,2022-W10,99,110,3,1,1,64.55%
Blog Article,/blogs/articles/best-vegetables-to-grow-in-early-spring,2022-W10,761,940,13,1,1,80.85%
Blog Article,/blogs/academy/how-much-soil-do-i-need-for-a-raised-garden-bed,2022-W10,75,82,1,1,1,84.15%
Custom Page,/pages/kids-program,2022-W10,27,34,3,1,0,64.71%
Blog Article,/blogs/articles/how-deep-should-raised-garden-beds-be,2022-W10,41,49,2,1,1,75.51%
Customer Account,/account/register,2022-W10,12,17,0,1,1,70.59%
Customer Account,/account/addresses,2022-W10,4,4,0,0,0,50.00%
Blog Article,/blogs/articles/celebrating-easter-by-gardening-some-greens,2022-W10,2,3,0,0,0,66.67%
Blog Article,/blogs/articles/vego-garden-special-shapes,2022-W10,1,2,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-start-seeds-for-vegetable-garden,2022-W10,1,1,0,0,0,100.00%
Blog Article,/blogs/academy/difference-between-garden-soil-and-raised-bed-soil,2022-W10,229,252,0,0,0,82.54%
Product,/products/vego-garden-sticker-kit,2022-W10,80,93,1,0,0,67.74%
Blog Article,/blogs/articles/why-modular-garden-beds-are-the-new-trend,2022-W10,1,1,0,0,0,0.00%
Blog Index,/blogs/articles,2022-W10,96,110,0,0,0,36.36%
Collection,/collections/best-sellers,2022-W10,65,76,1,0,0,59.21%
Blog Article,/blogs/articles/8-excellent-reasons-to-use-raised-beds-in-your-garden,2022-W10,44,51,1,0,0,58.82%
Collection,/collections/pre-order-items-list,2022-W10,1,1,0,0,0,100.00%
Custom Page,/pages/assembly,2022-W10,1,1,0,0,0,0.00%
Custom Page,/pages/our-mission,2022-W10,12,17,0,0,0,58.82%
Blog Article,/blogs/articles/how-to-grow-brussel-sprouts,2022-W10,1,1,0,0,0,100.00%
Custom Page,/pages/new-products,2022-W10,30,30,0,0,0,50.00%
Collection,/collections/extra-tall-32-6-in-1-garden-bed-kit,2022-W10,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/5-best-raised-garden-beds-in-2021,2022-W10,5,5,0,0,0,60.00%
Custom Page,/pages/loyalty-program,2022-W10,5,5,0,0,0,60.00%
Blog Article,/blogs/articles/how-to-compost-at-home-for-beginners,2022-W10,6,19,0,0,0,89.47%
Blog Article,/blogs/articles/when-to-start-seeds-for-vegetable-garden,2022-W10,2,2,0,0,0,100.00%
Product,/products/dragon-fruit-rolling-planter,2022-W10,882,919,14,0,0,75.08%
Custom Page,/pages/sustainability,2022-W10,28,31,0,0,0,54.84%
Blog Article,/blogs/articles/pros-and-cons-of-raised-bed-vegetable-gardening,2022-W10,7,7,0,0,0,42.86%
Collection,/collections/vego-garden-diy-components,2022-W10,14,17,0,0,0,29.41%
Customer Account,/account/orders,2022-W10,10,12,0,0,0,58.33%
Blog Article,/blogs/articles/how-to-plant-potatoes,2022-W10,11,30,0,0,0,90.00%
Blog Article,/blogs/academy/vego-garden-diy-ideas,2022-W10,33,39,1,0,0,58.97%
Blog Article,/blogs/articles/how-to-build-a-raised-garden-bed-and-garden-boxes,2022-W10,13,13,0,0,0,46.15%
Blog Article,/blogs/articles/is-raised-bed-garden-environmentally-responsive-or-not,2022-W10,1,1,0,0,0,100.00%
Custom Page,/pages/comment-policy,2022-W10,1,1,0,0,0,100.00%
Checkout,/gift_cards/28622716963/838f14eb41408a5209379c0e1fd2fc26,2022-W10,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/how-to-grow-and-harvest-lettuce,2022-W10,1,1,0,0,0,0.00%
Customer Account,/account/invalid_token,2022-W10,11,11,0,0,0,81.82%
Blog Article,/blogs/articles/how-to-grow-tomatoes,2022-W10,4,4,0,0,0,25.00%
Product,/products/vego-garden-gift-card,2022-W10,7,7,0,0,0,57.14%
Blog Article,/blogs/articles/what-to-know-before-building-a-raised-garden-bed,2022-W10,6,7,2,0,0,42.86%
Blog Article,/blogs/articles/time-saving-tips-for-vegetable-gardeners,2022-W10,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/techniques-for-improving-soil-quality,2022-W10,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/how-to-vermicompost-for-beginners,2022-W10,2,4,0,0,0,100.00%
Blog Article,/blogs/articles/7-tips-for-successful-raised-bed-gardening,2022-W10,1,2,0,0,0,0.00%
Custom Page,/pages/terms-of-service,2022-W10,7,7,0,0,0,71.43%
Blog Article,/blogs/articles/early-spring-perennial-flowers,2022-W10,2,3,0,0,0,100.00%
Blog Article,/blogs/articles/ideas-for-customizable-metal-raised-garden-beds,2022-W10,2,2,0,0,0,100.00%
Blog Article,/blogs/articles/raised-garden-bed-buying-guide,2022-W10,3,3,0,0,0,100.00%
Blog Article,/blogs/articles/easiest-vegetables-to-grow,2022-W10,1,1,0,0,0,100.00%
Custom Page,/pages/showmeyourvego-video-contest,2022-W10,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/everything-you-need-to-know-about-raised-garden-beds,2022-W10,2,2,0,0,0,50.00%
Collection,/collections/new-arrivals,2022-W10,14,17,1,0,0,52.94%
Blog Article,/blogs/articles/red-plants-for-valentine-s-day-and-beyond,2022-W10,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/preparing-your-winter-garden-for-spring,2022-W10,4,6,0,0,0,66.67%
Blog Article,/blogs/articles/the-best-ways-to-utilize-modular-garden-beds,2022-W10,6,6,0,0,0,50.00%
Blog Article,/blogs/articles/the-best-raised-garden-bed-options-for-the-backyard,2022-W10,23,24,0,0,0,70.83%
Blog Article,/blogs/articles/how-to-get-rid-of-gnats,2022-W10,1,2,0,0,0,100.00%
Custom Page,/pages/track-orders,2022-W10,134,148,1,0,0,53.38%
Blog Article,/blogs/articles/how-to-grow-lemon-balm,2022-W10,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/grow-some-green-for-your-st-patricks-day,2022-W10,2,2,0,0,0,100.00%
Blog Article,/blogs/articles/inspirational-garden-quotes,2022-W10,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/9-tips-for-successful-raised-garden-bed-gardening,2022-W10,38,58,0,0,0,87.93%
Blog Article,/blogs/articles/best-crops-to-grow-with-kids,2022-W10,5,6,0,0,0,33.33%
Blog Article,/blogs/articles/7-beginner-raised-bed-gardening-mistakes-to-avoid,2022-W10,7,8,0,0,0,62.50%
Blog Article,/blogs/articles/do-raised-garden-beds-need-drainage,2022-W10,6,6,0,0,0,50.00%
Custom Page,/pages/vego-garden-donation,2022-W10,7,7,1,0,0,14.29%
Blog Article,/blogs/articles/guide-to-growing-artichokes,2022-W10,5,6,0,0,0,83.33%
Custom Page,/pages/giving-back,2022-W10,11,12,0,0,0,33.33%
Collection,/collections/17-tall-diy-components,2022-W10,5,7,1,0,0,71.43%
Checkout,/gift_cards/28622716963/8edd399d0f761406af46cb7de9941a07,2022-W10,1,2,0,0,0,50.00%
Blog Article,/blogs/articles/wandering-jew-plant-care,2022-W10,7,7,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-grow-garlic,2022-W10,2,2,0,0,0,0.00%
Blog Article,/blogs/articles/vegetables-to-grow-in-winter,2022-W10,1,1,0,0,0,100.00%
Collection,/collections/herb-kids-gardens,2022-W10,5,5,0,0,0,60.00%
Custom Page,/pages/why-we-are-the-best,2022-W10,5,6,0,0,0,33.33%
Homepage,,2022-W11,78216,86408,3446,1200,952,42.52%
Checkout,/checkouts,2022-W11,475,602,62,213,152,42.36%
Product,/products/vego-garden-6-in-1-modular-raised-garden-bed-kit,2022-W11,6001,7062,340,128,108,66.68%
Product,/products/32-extra-tall-9-in-1-modular-raised-garden-bed-kit,2022-W11,13484,14751,416,122,96,69.38%
Cart,/cart,2022-W11,915,1340,207,121,95,44.93%
Collection,/collections/all,2022-W11,5037,5539,325,118,85,56.85%
Product,/products/9-in-1-modular-raised-garden-bed,2022-W11,3275,4062,228,107,87,67.23%
Product,/products/10-in-1-modular-metal-raised-garden-bed-kit,2022-W11,5566,6403,226,82,64,69.34%
Collection,/collections/garden-beds,2022-W11,3478,4109,161,62,49,66.61%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-standard-size,2022-W11,5399,5841,151,47,34,68.10%
Product,/products/32-extra-tall-6-in-1-modular-raised-garden-bed-kit,2022-W11,2146,2487,130,46,39,65.54%
Collection,/collections/on-sale,2022-W11,2121,2324,105,38,29,65.10%
Collection,/collections/vego-garden-17-standard-kits,2022-W11,1021,1312,65,31,25,64.18%
Product,/products/garden-bed-cover-systems,2022-W11,8029,8646,144,29,23,71.54%
Product,/products/17-tall-4-in-1-modular-metal-raised-garden-bed-kit,2022-W11,1496,1777,92,26,23,61.11%
Product,/products/17-tall-42-wide-round-metal-raised-garden-bed,2022-W11,3031,3299,66,24,20,73.90%
Collection,/collections/extra-tall-32-raised-bed,2022-W11,601,762,39,21,17,64.30%
Product,/products/32-extra-tall-10-in-1-modular-raised-garden-bed-kit,2022-W11,3645,4012,63,20,16,75.95%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-jumbo-size,2022-W11,6828,7153,56,15,13,80.27%
Product,/products/garden-arch-trellis,2022-W11,6597,7040,107,15,11,75.71%
Product,/products/worm-farm-worm-composter,2022-W11,2674,2883,46,12,11,76.07%
Product,/products/cascading-raised-garden-bed-kit-standard-size,2022-W11,3398,3608,63,11,8,78.08%
Collection,/collections/special-shapes,2022-W11,4806,4940,52,11,7,76.96%
Product,/products/modular-wall-trellis-system,2022-W11,2616,2746,42,9,4,70.03%
Product,/products/rolling-planter-twin-pack,2022-W11,3878,4006,39,8,6,78.61%
Collection,/collections/add-ons,2022-W11,183,248,13,8,6,64.11%
Customer Account,/account/login,2022-W11,117,143,14,8,7,39.16%
Product,/products/herb-garden-24-wide-17-tall-twin-pack,2022-W11,707,764,25,8,6,75.92%
Product,/products/32-extra-tall-4-in-1-modular-raised-garden-bed-kit,2022-W11,351,402,13,7,7,64.18%
Product,/products/connecting-rod-bag,2022-W11,1043,1066,23,7,5,57.79%
Product,/products/17-inch-tall-kids-first-raised-bed,2022-W11,584,697,28,7,6,71.16%
Collection,/collections/rolling-beds,2022-W11,226,247,14,6,5,57.89%
Custom Page,/pages/design-galleries,2022-W11,543,664,12,6,3,64.16%
Product,/products/32extra-tall-42-round-metal-garden-bed,2022-W11,614,692,23,6,5,72.83%
Product,/products/17-tall-vego-garden-2-ft-extension-kit,2022-W11,71,91,4,6,3,50.55%
Product,/products/vego-coffee-mug,2022-W11,346,376,17,5,4,69.41%
Checkout,/orders,2022-W11,1535,2593,14,5,5,74.62%
Blog Article,/blogs/academy/metal-raised-garden-beds-vs-wood-raised-garden-beds,2022-W11,1091,1143,15,5,4,64.83%
Product,/products/elevated-rolling-garden-bed,2022-W11,1376,1476,25,5,4,73.24%
Custom Page,/pages/happy-customers,2022-W11,72,82,7,5,4,41.46%
App Generated,/apps/faq,2022-W11,387,473,9,5,3,64.27%
Customer Account,/account/register,2022-W11,24,30,3,4,4,63.33%
Product,/products/17-tall-l-shaped-raised-garden-bed-kit-standard-size,2022-W11,430,471,9,4,4,72.40%
Product,/products/dragon-fruit-rolling-planter,2022-W11,1229,1282,21,4,2,73.95%
Search,/search,2022-W11,246,265,10,3,3,55.09%
Collection,/collections/essentials,2022-W11,45,48,4,3,3,47.92%
Product,/products/17-tall-l-shaped-raised-garden-bed-kit-large-size,2022-W11,1272,1377,17,3,3,77.49%
Blog Article,/blogs/articles/10-sustainable-spring-gardening-tips,2022-W11,539,660,12,3,2,69.24%
Customer Account,/account,2022-W11,74,116,8,3,2,48.28%
Custom Page,/pages/about-vego,2022-W11,140,157,4,3,2,38.85%
Collection,/collections/help-me-choose,2022-W11,59,83,4,3,3,60.24%
Blog Article,/blogs/articles/5-reasons-to-start-your-garden-in-the-winter,2022-W11,133,148,5,2,2,63.51%
Product,/products/frost-cover,2022-W11,549,589,7,2,1,62.82%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-large-size,2022-W11,962,1043,11,2,0,76.41%
Collection,/collections/small-garden-collection,2022-W11,100,133,8,2,1,63.91%
Blog Article,/blogs/articles/best-vegetables-to-grow-in-early-spring,2022-W11,64,90,3,2,2,78.89%
Blog Article,/blogs/articles/best-crops-to-grow-with-kids,2022-W11,342,384,2,2,1,72.14%
